,Cod_Loc,IdProvincia,IdDepartamento,Observaciones,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,actualizacion
29,6224010,6,6224,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo De Artes Plásticas Pompeo Boggio,Bolívar 319,,B6620HBG,2346.0,422 113,culturachivilcoy@hotmail.com,,-34.891366,-60.022753,Localización precisa,,DNPyM,Municipal,1962.0,2017
30,6224010,6,6224,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Histórico Municipal F. A. Castagnino,9 de Julio 177,,B6620FKC,2346.0,422 185,,,-34.900377,-60.018883,Localización precisa,,DNPyM,Municipal,1943.0,2017
31,6224010,6,6224,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Arqueológico Municipal,9 de Julio 177,,B6620FKC,2346.0,422 185,,,-34.895242,-60.022772,Localización precisa,,DNPyM,Municipal,1973.0,2017
32,6840010,6,6840,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ciudadela,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,,B1702BDV,11.0,4653 1818,museoejercito@gmail.com,www.dahe.ejercito.mil.ar,-34.6311,-58.5433,Localización precisa,,DNPyM,Nacional,1993.0,2017
33,6833020,6,6833,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Claromeco,Museo Regional De Claromecó Aníbal Paz,Calle 28 Entre 9 y 11 S/N,,7505,2982.0,480 213,museoclaromeco@gimeil.com,,-38.858268,-60.074491,Localización precisa,,DNPyM,Provincial,2007.0,2017
34,6119050,6,6119,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Brandsen,Micro Cosmo Museum 1Er. Complejo Museístico Mundial Del Microcosmos,Azcuénaga 926,,B1980EIT,2223.0,344 5628,,,-35.170389,-58.238246,Localización precisa,,DNPyM,Privada,2002.0,2017
35,6189030,6,6189,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Dorrego,Museo Regional Dr. Carlos Funes Derieul,Maciel 555,,B8150CSK,2921.0,409 228,,,-38.717614,-61.288043,Localización precisa,,DNPyM,Municipal,1969.0,2017
36,6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Antimuseo Pillahuincó,Cabrera 455,,B7530DJI,2922.0,462 680,,,-37.984408,-61.348839,Localización precisa,,DNPyM,Municipal,,2017
37,6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Agrario Y De Transporte,Sáenz Peña y Stagmann,,7530,2922.0,406 2680,,,-37.984122,-61.356787,Localización precisa,,DNPyM,Municipal,,2017
38,6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo De Ciencias Naturales,Alem 1375,,B7530ALE,2922.0,463 688,,,-37.983559,-61.348544,Localización precisa,,DNPyM,Mixta: Privada/Municipal,1909.0,2017
39,6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Municipal De Bellas Artes,Juan P. Cabrera 455,,B7530DJI,2922.0,462 680,,,-37.988799,-61.354054,Localización precisa,,DNPyM,Municipal,1909.0,2017
40,6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Pringles De Arqueología E Historia,Alvear Entre Colón y España,,7530,2922.0,462 459,,,-37.988799,-61.354054,Localización precisa,,DNPyM,Privada,1971.0,2017
41,6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Miguel G. Flesia,Stegmann 1032,,B7530DBV,2922.0,466 166 INT 32,,,-37.983131,-61.358056,Localización precisa,,DNPyM,Municipal,1986.0,2017
42,6238010,6,6238,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Histórico Provincial Libres Del Sur,Juan Bautista Selva 390,,B7100BIH,2245.0,442 730,,,-36.318665,-57.675217,Localización precisa,,DNPyM,Provincial,1940.0,2017
43,6238010,6,6238,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Del Colegio Nacional Aristóbulo Del Valle,Crámer 450,,B7100ADJ,2245.0,446 276,,,-36.318642,-57.67285,Localización precisa,,DNPyM,Provincial,1991.0,2017
44,6392040,6,6392,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Emilio V. Bunge,Museo Comunal Pedro Bargero,Gobernador Arias 496,,B6241AIJ,3388.0,493 535,bargero@servicoopsa.com.ar,,-34.782191,-63.196046,Localización precisa,,DNPyM,Municipal,1984.0,2017
45,6245010,6,6245,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,,B1925BNS,221.0,460 2370,,,-34.850396,-57.92042,Localización precisa,,DNPyM,Privada,,2017
46,6245010,6,6245,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Histórico Fuerte De La Ensenada De Barragán,Avda. Almirante Brown y Calle 60 Punta Lara,,1925,221.0,469 1642,,,-34.8215,-57.9661,Localización precisa,,DNPyM,Municipal,1965.0,2017
47,6245010,6,6245,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Contraalmirante Rafael E. Chalier,Río Santiago - Escuela Naval Militar,,1927,221.0,4317 2396,,,-34.84165,-57.893365,Localización precisa,,DNPyM,Nacional,1979.0,2017
48,6274010,6,6274,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florencio Varela,Museo Histórico Provincial Guillermo E. Hudson,"Calle 1356 (El Zaino), Entre Av. Hudson y 1379",,1888,2229.0,497 314,,,-34.80208,-58.264498,Localización precisa,,DNPyM,Provincial,,2017
49,6861010,6,6861,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo De La Piedra Argentina,Esteban Echeverría 333,,1602,11.0,4760 9138,,,-34.533,-58.4909,Localización precisa,,DNPyM,Privada,1975.0,2017
50,6861010,6,6861,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo Forrajeria De La Familia García,Gral. José María Paz 1584,,B1602AYD,11.0,4796 9556,,,-34.526868,-58.491632,Localización precisa,,DNPyM,Privada,2001.0,2017
51,6301010,6,6301,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,General Belgrano,Museo Histórico Municipal Alfredo E. Múlgura,Avda. Larrea 454,,B7223GUO,,,,,-35.769121,-58.493413,Localización precisa,,DNPyM,Municipal,2001.0,2017
52,6322010,6,6322,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Gral. la Madrid,Archivo Y Museo Histórico Juan Carlos Pacín,San Martín 545,,B7406AMK,,,,,-37.252695,-61.259562,Localización precisa,,DNPyM,Municipal,1987.0,2017
53,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Médicas,,1900,221.0,424 1596 INT 374,,,-34.909535,-57.928953,Localización precisa,,DNPyM,Nacional,,2017
54,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Galería Fotográfica Mugafo Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,,B1900TQU,221.0,417 6795,,,-34.926257,-57.961684,Localización precisa,,DNPyM,Municipal,,2017
55,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Anatomía Veterinaria Dr. Víctor Manuel Arroyo,Calle 60 y 118,,B1904AAO,221.0,423 6663 INT 424,,,-34.91114,-57.930749,Localización precisa,,DNPyM,Nacional,,2017
56,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,,1909,221.0,450 1214,,,-35.001053,-57.902284,Localización precisa,,DNPyM,Nacional,,2017
57,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Almafuerte,Calle 66 530,,B1904ASJ,221.0,427 5631,,,-34.9246,-57.9331,Localización precisa,,DNPyM,Municipal,1909.0,2017
58,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Provincial De Bellas Artes Emilio Pettoruti,Avda. 51 N° 525 E/5 y 6,,B1900AVK,221.0,421 8619,,,-34.913773,-57.947692,Localización precisa,,DNPyM,Provincial,1926.0,2017
59,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Pictórico Indigenista Yana Kúntur,"Calle 516, N°2479 Entre 19 y 20",,1900,221.0,484 2526,,,-34.8989,-58.0002,Localización precisa,,DNPyM,Privada,1966.0,2017
60,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,,B1900ADX,221.0,424 0401,museo azzarini@hotmail.com,,-34.9113,-57.9537,Localización precisa,,DNPyM,Nacional,1989.0,2017
61,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Artesanía Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N° 417,,B1902CHQ,221.0,424 4684,,,-34.9111,-57.9433,Localización precisa,,DNPyM,Privada,1990.0,2017
62,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo José Juan Podestá,10 N° 727 Entre 46 y 47,,B1900TIY,221.0,424 8457,,,-34.91512,-57.956169,Localización precisa,,DNPyM,Municipal,1995.0,2017
63,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Latinoamericano (Macla),50 E/ 6 y 7 Pasaje Dardo Rocha,,B1900ASW,221.0,427 1843,,,-34.920184,-57.941166,Localización precisa,,DNPyM,Municipal,2003.0,2017
64,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Gráfico E Histórico Del Club De Gimnasia Y Esgrima La Plata,4 N° 979,,B1900TDT,221.0,422 2510,,,-34.913027,-57.945249,Localización precisa,,DNPyM,Privada,2004.0,2017
65,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Automóvil Colección Rau,Av. 1 Nº 121 Entre 34 y 35,,B1902CGC,221.0,427 6660,,,-34.896597,-57.960406,Localización precisa,,DNPyM,Privada,2010.0,2017
66,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Plata,Paseo del Bosque S/N,,1900,221.0,423 4910,,,-34.9106,-57.9416,Localización precisa,,DNPyM,Nacional,1888.0,2017
67,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Municipal De Arte,Calle 50 Entre 6 y 7. Pasaje Dardo Rocha,,B1900ASW,221.0,423 5033,museomumart@yahoo.com.ar,,-34.9143,-57.9493,Localización precisa,,DNPyM,Municipal,1905.0,2017
68,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Archivo Dardo Rocha,Calle 50 N° 933,,B1900ATK,,,,,-34.9212,-57.9566,Localización precisa,,DNPyM,Municipal,1952.0,2017
69,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Eclesiástico Catedral,Calle 14 Entre 51 y 53,,B1900DVL,221.0,427 3504,museo-catedral@yahoo.com.ar,www.catedraldelaplata.com,-34.9222,-57.9557,Localización precisa,,DNPyM,Provincial,1977.0,2017
70,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Beato Angélico,Calle 47 Entre 16 y Diag. 73,,B1900AKQ,221.0,424 8906,museobangelico@ucalp.edu.ar,www.ucalp.edu.ar,-34.9216,-57.9616,Localización precisa,,DNPyM,Privada,1980.0,2017
71,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Archivo Histórico Y Museo Del Servicio Penitenciario Bonaerense,35 N° 535 E/ 5 y 6,,B1902BBU,221.0,429 3892,,,-34.901463,-57.964068,Localización precisa,,DNPyM,Provincial,1994.0,2017
72,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Física,"Calle 115, Entre 49 y 50 S/N",,1900,221.0,424 6062,,,-34.907913,-57.942886,Localización precisa,,DNPyM,Nacional,1998.0,2017
73,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Tango Platense Oscar A. Bozzarelli,15 Nº 1579,,B1904CTG,221.0,424 2698,,,-34.932314,-57.944732,Localización precisa,,DNPyM,Privada,1999.0,2017
74,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Odontología Orestes Walter Siutti,50 E/ 1 y 15 - Facultad de Odontología,,1900,221.0,423 6777,,,-34.908329,-57.943054,Localización precisa,,DNPyM,Nacional,2001.0,2017
75,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Calcos,"Diagonal 78 N 680, Oficina 16",,B1904BTD,221.0,427 6304,,,-34.922339,-57.94179,Localización precisa,,DNPyM,Nacional,2004.0,2017
76,6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Policial,Calle 54 N° 393 Entre 2 y 3,,B1900BDO,221.0,423 1876,,,-34.912075,-57.942017,Localización precisa,,DNPyM,Provincial,2007.0,2017
77,6357120,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Laguna de Los Padres,Museo Municipal José Hernández,"Ruta 226 Km. 14,5",,B7601XAD,223.0,463 1394,,,-37.956443,-57.771628,Localización precisa,,DNPyM,Municipal,1964.0,2017
78,6469080,6,6469,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lincoln,Museo Enrique Urcola,Avdea. 9 de Julio 260,,B6070ACP,2355.0,421 262,,,-34.8714,-61.529141,Localización precisa,,DNPyM,Privada,,2017
79,6476030,6,6476,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Loberia,Museo De Ciencias Naturales Gesué P. Noseda,Alvear 181,,B7635BWC,2261.0,442 227,,,-38.167505,-58.784647,Localización precisa,,DNPyM,Privada,1960.0,2017
80,6483040,6,6483,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lobos,Museo Y Biblioteca Provincial Presidente Juan Domingo Perón,Pte. Perón 482,,B7240AAJ,2227.0,422 843,,,-35.190349,-59.097169,Localización precisa,,DNPyM,,,2017
81,6497060,6,6497,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Complejo Museográfico Provincial Enrique Udaondo,"Calle Lavalle 917, Entre Lezica y Torrezuri",,B6700ANU,2323.0,420 245,,,-34.573023,-59.109553,Localización precisa,,DNPyM,Provincial,1927.0,2017
82,6497060,6,6497,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Museo Municipal De Bellas Artes Fernán Félix De Amador,9 de Julio 863,,B6700CDM,2323.0,420 755,,,-34.5637,-59.1205,Localización precisa,,DNPyM,Municipal,1963.0,2017
83,6357110,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Centro Cultural Victoria Ocampo,Matheu 1851,,B7602GAK,223.0,492 0569,gestion@cultura.mardelplata.cultura.com.ar,,-38.0199,-57.5528,Localización precisa,,DNPyM,Municipal,,2017
84,6357110,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Arte Juan Carlos Castagnino,Avda. Colón 1189 - Villa Ortiz Basualdo,,B7600FXE,223.0,486 1636,,,-38.010598,-57.535927,Localización precisa,,DNPyM,Municipal,1949.0,2017
85,6357110,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Ciencias Naturales Lorenzo Scaglia,Avda. Libertad 3099,,B7600HJB,223.0,473 8791,,,-37.955666,-57.617466,Localización precisa,,DNPyM,Municipal,1939.0,2017
86,6357110,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Archivo Museo Histórico Municipal Roberto T. Barili,Lamadrid 3870,,B7602CQV,223.0,495 1200,,,-38.0208,-57.5528,Localización precisa,,DNPyM,Municipal,1969.0,2017
87,6525020,6,6525,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Marcos Paz,Museo De Arte Hispano Luso Americano Y Del Folklore,Hipólito Irigoyen 377,,B1727BAG,220.0,477 1110,,,-34.7843,-58.8326,Localización precisa,,DNPyM,Privada,1948.0,2017
88,6756010,6,6756,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Martínez,Museo Chavín De Huantar,Luis Sáenz Peña 2864,,B1640ITF,11.0,4798 1835,,,-34.4987,-58.5006,Localización precisa,,DNPyM,Privada,1971.0,2017
89,6280040,6,6280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo De La Región De Ansenuza Aníbal Montes,Sarmiento Esq. Urquiza,,X5143BQG,3563.0,493 621,,,-30.91351,-62.675507,Localización precisa,,DNPyM,Privada,,2017
90,6280040,6,6280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Del Gran Hotel Viena De Miramar,Croacia S/N,,X5143BQG,,,,,-30.90497,-62.668371,Localización precisa,,DNPyM,Privada,,2017
91,6280040,6,6280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Municipal Punta Hermengo,"Vivero Bosque ""Florentino Ameghino""",,7607,,,,,-38.288378,-57.849794,Localización precisa,,DNPyM,Municipal,1977.0,2017
92,6280040,6,6280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Fotográfico De Miramar,Libertad 124,,X5143BQD,3563.0,493078,,,-30.914302,-62.676602,Localización precisa,,DNPyM,Privada,2000.0,2017
93,6260010,6,6260,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Grande,Museo Histórico Municipal La Campana,"Deán Gregorio Funes 1221, B° la Morita",,1842,11.0,4290 0437,,,-34.813,-58.4584,Localización precisa,,DNPyM,Municipal,1984.0,2017
94,6553020,6,6553,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Hermoso,Museo Municipal De Ciencias Naturales,"Avda. Recalada 243,",,B8153CMC,2921.0,482 601,,,-38.981945,-61.299913,Localización precisa,,DNPyM,Municipal,1977.0,2017
95,6568010,6,6568,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo De La Catedral De Morón Inmaculada Concepción Del Buen Viaje,Gral. Manuel Belgrano 327,,B1708IFG,11.0,4629 0969,mensajes@catedraldemoron.org.ar,,-34.6521,-58.6212,Localización precisa,,DNPyM,,,2017
